Year,Winner,Winner_Code,Winner_Flag_URL,Runner_Up,Runner_Up_Code,Runner_Up_Flag_URL,Final_Score,Host,Third,Fourth,Teams,Matches,Goals,Goals_Per_Match,Golden_Boot_Winner,Golden_Glove_Winner,Golden_Ball_Winner,Player_of_Tournament,Final_Match_Score,Third_Flag_URL
1978,Argentina,ar,https://flagcdn.com/w160/ar.png,Netherlands,nl,https://flagcdn.com/w160/nl.png,3–1,Argentina,Brazil,Italy,16,38,102,2.68,Mario Kempes,Not awarded,Mario Kempes,Mario Kempes,Argentina 3–1 Netherlands,https://flagcdn.com/w80/br.png
1982,Italy,it,https://flagcdn.com/w160/it.png,West Germany,de,https://flagcdn.com/w160/de.png,3–1,Spain,Poland,France,24,52,146,2.81,Paolo Rossi,Not awarded,Paolo Rossi,Paolo Rossi,Italy 3–1 West Germany,https://flagcdn.com/w80/pl.png
1986,Argentina,ar,https://flagcdn.com/w160/ar.png,West Germany,de,https://flagcdn.com/w160/de.png,3–2,Mexico,France,Belgium,24,52,132,2.54,Gary Lineker,Not awarded,Diego Maradona,Diego Maradona,Argentina 3–2 West Germany,https://flagcdn.com/w80/fr.png
1990,West Germany,de,https://flagcdn.com/w160/de.png,Argentina,ar,https://flagcdn.com/w160/ar.png,1–0,Italy,Italy,England,24,52,115,2.21,Salvatore Schillaci,Not awarded,Salvatore Schillaci,Salvatore Schillaci,West Germany 1–0 Argentina,https://flagcdn.com/w80/it.png
1994,Brazil,br,https://flagcdn.com/w160/br.png,Italy,it,https://flagcdn.com/w160/it.png,0–0 (3–2 pens),USA,Sweden,Bulgaria,24,52,141,2.71,Oleg Salenko / Hristo Stoichkov,Michel Preud'homme,Romario,Romario,Brazil 0–0 Italy (3–2 pens),https://flagcdn.com/w80/se.png
1998,France,fr,https://flagcdn.com/w160/fr.png,Brazil,br,https://flagcdn.com/w160/br.png,3–0,France,Croatia,Netherlands,32,64,171,2.67,Davor Suker,Fabien Barthez,Ronaldo,Ronaldo,France 3–0 Brazil,https://flagcdn.com/w80/hr.png
2002,Brazil,br,https://flagcdn.com/w160/br.png,Germany,de,https://flagcdn.com/w160/de.png,2–0,South Korea / Japan,Turkey,South Korea,32,64,161,2.52,Ronaldo,Oliver Kahn,Oliver Kahn,Oliver Kahn,Brazil 2–0 Germany,https://flagcdn.com/w80/tr.png
2006,Italy,it,https://flagcdn.com/w160/it.png,France,fr,https://flagcdn.com/w160/fr.png,1–1 (5–3 pens),Germany,Germany,Portugal,32,64,147,2.3,Miroslav Klose,Gianluigi Buffon,Zinedine Zidane,Zinedine Zidane,Italy 1–1 France (5–3 pens),https://flagcdn.com/w80/de.png
2010,Spain,es,https://flagcdn.com/w160/es.png,Netherlands,nl,https://flagcdn.com/w160/nl.png,1–0,South Africa,Germany,Uruguay,32,64,145,2.27,Thomas Muller,Iker Casillas,Diego Forlan,Diego Forlan,Spain 1–0 Netherlands,https://flagcdn.com/w80/de.png
2014,Germany,de,https://flagcdn.com/w160/de.png,Argentina,ar,https://flagcdn.com/w160/ar.png,1–0,Brazil,Netherlands,Brazil,32,64,171,2.67,James Rodriguez,Manuel Neuer,Lionel Messi,Lionel Messi,Germany 1–0 Argentina,https://flagcdn.com/w80/nl.png
2018,France,fr,https://flagcdn.com/w160/fr.png,Croatia,hr,https://flagcdn.com/w160/hr.png,4–2,Russia,Belgium,England,32,64,169,2.64,Harry Kane,Thibaut Courtois,Luka Modric,Luka Modric,France 4–2 Croatia,https://flagcdn.com/w80/be.png
2022,Argentina,ar,https://flagcdn.com/w160/ar.png,France,fr,https://flagcdn.com/w160/fr.png,3–3 (4–2 pens),Qatar,Croatia,Morocco,32,64,172,2.69,Kylian Mbappe,Emiliano Martinez,Lionel Messi,Lionel Messi,Argentina 3–3 France (4–2 pens),https://flagcdn.com/w80/hr.png
